Pokemon,Typing,Abilities,HP,Attack,Defense,SpA,SpD,Spe
Abomasnow,Grass/Ice,Snow Warning,90,92,75,92,85,60
Abra,Psychic,"Inner Focus, Synchronize",25,20,15,105,55,90
Absol,Dark,"Pressure, Super Luck",65,130,60,75,60,75
Aerodactyl,Rock/Flying,"Pressure, Rock Head",80,105,65,60,75,130
Aggron,Steel/Rock,"Rock Head, Sturdy",70,110,180,60,60,50
Aipom,Normal,"Pickup, Run Away",55,70,55,40,55,85
Alakazam,Psychic,"Inner Focus, Synchronize",55,50,45,135,85,120
Altaria,Dragon/Flying,Natural Cure,75,70,90,70,105,80
Ambipom,Normal,"Pickup, Technician",75,100,66,60,66,115
Ampharos,Electric,Static,90,75,75,115,90,55
Anorith,Rock/Bug,Battle Armor,45,95,50,40,50,75
Arbok,Poison,"Intimidate, Shed Skin",60,85,69,65,79,80
Arcanine,Fire,"Flash Fire, Intimidate",90,110,80,100,80,95
Arceus,Normal,Multitype,120,120,120,120,120,120
Arceus-Bug,Bug,Multitype,120,120,120,120,120,120
Arceus-Dark,Dark,Multitype,120,120,120,120,120,120
Arceus-Dragon,Dragon,Multitype,120,120,120,120,120,120
Arceus-Electric,Electric,Multitype,120,120,120,120,120,120
Arceus-Fighting,Fighting,Multitype,120,120,120,120,120,120
Arceus-Fire,Fire,Multitype,120,120,120,120,120,120
Arceus-Flying,Flying,Multitype,120,120,120,120,120,120
Arceus-Ghost,Ghost,Multitype,120,120,120,120,120,120
Arceus-Grass,Grass,Multitype,120,120,120,120,120,120
Arceus-Ground,Ground,Multitype,120,120,120,120,120,120
Arceus-Ice,Ice,Multitype,120,120,120,120,120,120
Arceus-Poison,Poison,Multitype,120,120,120,120,120,120
Arceus-Psychic,Psychic,Multitype,120,120,120,120,120,120
Arceus-Rock,Rock,Multitype,120,120,120,120,120,120
Arceus-Steel,Steel,Multitype,120,120,120,120,120,120
Arceus-Water,Water,Multitype,120,120,120,120,120,120
Ariados,Bug/Poison,"Insomnia, Swarm",70,90,70,60,60,40
Armaldo,Rock/Bug,Battle Armor,75,125,100,70,80,45
Aron,Steel/Rock,"Rock Head, Sturdy",50,70,100,40,40,30
Articuno,Ice/Flying,Pressure,90,85,100,95,125,85
Azelf,Psychic,Levitate,75,125,70,125,70,115
Azumarill,Water,"Huge Power, Thick Fat",100,50,80,50,80,50
Azurill,Normal,"Huge Power, Thick Fat",50,20,40,20,40,20
Bagon,Dragon,Rock Head,45,75,60,40,30,50
Baltoy,Ground/Psychic,Levitate,40,40,55,40,70,55
Banette,Ghost,"Frisk, Insomnia",64,115,65,83,63,65
Barboach,Water/Ground,"Anticipation, Oblivious",50,48,43,46,41,60
Bastiodon,Rock/Steel,Sturdy,60,52,168,47,138,30
Bayleef,Grass,Overgrow,60,62,80,63,80,60
Beautifly,Bug/Flying,Swarm,60,70,50,90,50,65
Beedrill,Bug/Poison,Swarm,65,80,40,45,80,75
Beldum,Steel/Psychic,Clear Body,40,55,80,35,60,30
Bellossom,Grass,Chlorophyll,75,80,85,90,100,50
Bellsprout,Grass/Poison,Chlorophyll,50,75,35,70,30,40
Bibarel,Normal/Water,"Simple, Unaware",79,85,60,55,60,71
Bidoof,Normal,"Simple, Unaware",59,45,40,35,40,31
Blastoise,Water,Torrent,79,83,100,85,105,78
Blaziken,Fire/Fighting,Blaze,80,120,70,110,70,80
Blissey,Normal,"Natural Cure, Serene Grace",255,10,10,75,135,55
Bonsly,Rock,"Rock Head, Sturdy",50,80,95,10,45,10
Breloom,Grass/Fighting,"Effect Spore, Poison Heal",60,130,80,60,60,70
Bronzong,Steel/Psychic,"Heatproof, Levitate",67,89,116,79,116,33
Bronzor,Steel/Psychic,"Heatproof, Levitate",57,24,86,24,86,23
Budew,Grass/Poison,"Natural Cure, Poison Point",40,30,35,50,70,55
Buizel,Water,Swift Swim,55,65,35,60,30,85
Bulbasaur,Grass/Poison,Overgrow,45,49,49,65,65,45
Buneary,Normal,"Klutz, Run Away",55,66,44,44,56,85
Burmy,Bug,Shed Skin,40,29,45,29,45,36
Butterfree,Bug/Flying,Compound Eyes,60,45,50,80,80,70
Cacnea,Grass,Sand Veil,50,85,40,85,40,35
Cacturne,Grass/Dark,Sand Veil,70,115,60,115,60,55
Camerupt,Fire/Ground,"Magma Armor, Solid Rock",70,100,70,105,75,40
Carnivine,Grass,Levitate,74,100,72,90,72,46
Carvanha,Water/Dark,Rough Skin,45,90,20,65,20,65
Cascoon,Bug,Shed Skin,50,35,55,25,25,15
Castform,Normal,Forecast,70,70,70,70,70,70
Caterpie,Bug,Shield Dust,45,30,35,20,20,45
Celebi,Psychic/Grass,Natural Cure,100,100,100,100,100,100
Chansey,Normal,"Natural Cure, Serene Grace",250,5,5,35,105,50
Charizard,Fire/Flying,Blaze,78,84,78,109,85,100
Charmander,Fire,Blaze,39,52,43,60,50,65
Charmeleon,Fire,Blaze,58,64,58,80,65,80
Chatot,Normal/Flying,"Keen Eye, Tangled Feet",76,65,45,92,42,91
Cherrim,Grass,Flower Gift,70,60,70,87,78,85
Cherubi,Grass,Chlorophyll,45,35,45,62,53,35
Chikorita,Grass,Overgrow,45,49,65,49,65,45
Chimchar,Fire,Blaze,44,58,44,58,44,61
Chimecho,Psychic,Levitate,65,50,70,95,80,65
Chinchou,Water/Electric,"Illuminate, Volt Absorb",75,38,38,56,56,67
Chingling,Psychic,Levitate,45,30,50,65,50,45
Clamperl,Water,Shell Armor,35,64,85,74,55,32
Claydol,Ground/Psychic,Levitate,60,70,105,70,120,75
Clefable,Normal,"Cute Charm, Magic Guard",95,70,73,85,90,60
Clefairy,Normal,"Cute Charm, Magic Guard",70,45,48,60,65,35
Cleffa,Normal,"Cute Charm, Magic Guard",50,25,28,45,55,15
Cloyster,Water/Ice,"Shell Armor, Skill Link",50,95,180,85,45,70
Combee,Bug/Flying,Honey Gather,30,30,42,30,42,70
Combusken,Fire/Fighting,Blaze,60,85,60,85,60,55
Corphish,Water,"Hyper Cutter, Shell Armor",43,80,65,50,35,35
Corsola,Water/Rock,"Hustle, Natural Cure",55,55,85,65,85,35
Cradily,Rock/Grass,Suction Cups,86,81,97,81,107,43
Cranidos,Rock,Mold Breaker,67,125,40,30,30,58
Crawdaunt,Water/Dark,"Hyper Cutter, Shell Armor",63,120,85,90,55,55
Cresselia,Psychic,Levitate,120,70,120,75,130,85
Croagunk,Poison/Fighting,"Anticipation, Dry Skin",48,61,40,61,40,50
Crobat,Poison/Flying,Inner Focus,85,90,80,70,80,130
Croconaw,Water,Torrent,65,80,80,59,63,58
Cubone,Ground,"Lightning Rod, Rock Head",50,50,95,40,50,35
Cyndaquil,Fire,Blaze,39,52,43,60,50,65
Darkrai,Dark,Bad Dreams,70,90,90,135,90,125
Delcatty,Normal,"Cute Charm, Normalize",70,65,65,55,55,70
Delibird,Ice/Flying,"Hustle, Vital Spirit",45,55,45,65,45,75
Deoxys,Psychic,Pressure,50,150,50,150,50,150
Deoxys-Attack,Psychic,Pressure,50,180,20,180,20,150
Deoxys-Defense,Psychic,Pressure,50,70,160,70,160,90
Deoxys-Speed,Psychic,Pressure,50,95,90,95,90,180
Dewgong,Water/Ice,"Hydration, Thick Fat",90,70,80,70,95,70
Dialga,Steel/Dragon,Pressure,100,120,120,150,100,90
Diglett,Ground,"Arena Trap, Sand Veil",10,55,25,35,45,95
Ditto,Normal,Limber,48,48,48,48,48,48
Dodrio,Normal/Flying,"Early Bird, Run Away",60,110,70,60,60,100
Doduo,Normal/Flying,"Early Bird, Run Away",35,85,45,35,35,75
Donphan,Ground,Sturdy,90,120,120,60,60,50
Dragonair,Dragon,Shed Skin,61,84,65,70,70,70
Dragonite,Dragon/Flying,Inner Focus,91,134,95,100,100,80
Drapion,Poison/Dark,"Battle Armor, Sniper",70,90,110,60,75,95
Dratini,Dragon,Shed Skin,41,64,45,50,50,50
Drifblim,Ghost/Flying,"Aftermath, Unburden",150,80,44,90,54,80
Drifloon,Ghost/Flying,"Aftermath, Unburden",90,50,34,60,44,70
Drowzee,Psychic,"Forewarn, Insomnia",60,48,45,43,90,42
Dugtrio,Ground,"Arena Trap, Sand Veil",35,80,50,50,70,120
Dunsparce,Normal,"Run Away, Serene Grace",100,70,70,65,65,45
Dusclops,Ghost,Pressure,40,70,130,60,130,25
Dusknoir,Ghost,Pressure,45,100,135,65,135,45
Duskull,Ghost,Levitate,20,40,90,30,90,25
Dustox,Bug/Poison,Shield Dust,60,50,70,50,90,65
Eevee,Normal,"Adaptability, Run Away",55,55,50,45,65,55
Ekans,Poison,"Intimidate, Shed Skin",35,60,44,40,54,55
Electabuzz,Electric,Static,65,83,57,95,85,105
Electivire,Electric,Motor Drive,75,123,67,95,85,95
Electrike,Electric,"Lightning Rod, Static",40,45,40,65,40,65
Electrode,Electric,"Soundproof, Static",60,50,70,80,80,140
Elekid,Electric,Static,45,63,37,65,55,95
