Pokemon,Typing,Abilities,HP,Attack,Defense,SpA,SpD,Spe
Abra,Psychic,,25,20,15,105,55,90
Aerodactyl,Rock/Flying,,80,105,65,60,75,130
Aipom,Normal,,55,70,55,40,55,85
Alakazam,Psychic,,55,50,45,135,85,120
Ampharos,Electric,,90,75,75,115,90,55
Arbok,Poison,,60,85,69,65,79,80
Arcanine,Fire,,90,110,80,100,80,95
Ariados,Bug/Poison,,70,90,70,60,60,40
Articuno,Ice/Flying,,90,85,100,95,125,85
Azumarill,Water,,100,50,80,50,80,50
Bayleef,Grass,,60,62,80,63,80,60
Beedrill,Bug/Poison,,65,80,40,45,80,75
Bellossom,Grass,,75,80,85,90,100,50
Bellsprout,Grass/Poison,,50,75,35,70,30,40
Blastoise,Water,,79,83,100,85,105,78
Blissey,Normal,,255,10,10,75,135,55
Bulbasaur,Grass/Poison,,45,49,49,65,65,45
Butterfree,Bug/Flying,,60,45,50,80,80,70
Caterpie,Bug,,45,30,35,20,20,45
Celebi,Psychic/Grass,,100,100,100,100,100,100
Chansey,Normal,,250,5,5,35,105,50
Charizard,Fire/Flying,,78,84,78,109,85,100
Charmander,Fire,,39,52,43,60,50,65
Charmeleon,Fire,,58,64,58,80,65,80
Chikorita,Grass,,45,49,65,49,65,45
Chinchou,Water/Electric,,75,38,38,56,56,67
Clefable,Normal,,95,70,73,85,90,60
Clefairy,Normal,,70,45,48,60,65,35
Cleffa,Normal,,50,25,28,45,55,15
Cloyster,Water/Ice,,50,95,180,85,45,70
Corsola,Water/Rock,,55,55,85,65,85,35
Crobat,Poison/Flying,,85,90,80,70,80,130
Croconaw,Water,,65,80,80,59,63,58
Cubone,Ground,,50,50,95,40,50,35
Cyndaquil,Fire,,39,52,43,60,50,65
Delibird,Ice/Flying,,45,55,45,65,45,75
Dewgong,Water/Ice,,90,70,80,70,95,70
Diglett,Ground,,10,55,25,35,45,95
Ditto,Normal,,48,48,48,48,48,48
Dodrio,Normal/Flying,,60,110,70,60,60,100
Doduo,Normal/Flying,,35,85,45,35,35,75
Donphan,Ground,,90,120,120,60,60,50
Dragonair,Dragon,,61,84,65,70,70,70
