Pokemon,Typing,Abilities,HP,Attack,Defense,SpA,SpD,Spe
Abra,Psychic,,25,20,15,105,105,90
Aerodactyl,Rock/Flying,,80,105,65,60,60,130
Alakazam,Psychic,,55,50,45,135,135,120
Arbok,Poison,,60,85,69,65,65,80
Arcanine,Fire,,90,110,80,80,80,95
Articuno,Ice/Flying,,90,85,100,125,125,85
Beedrill,Bug/Poison,,65,80,40,45,45,75
Bellsprout,Grass/Poison,,50,75,35,70,70,40
Blastoise,Water,,79,83,100,85,85,78
Bulbasaur,Grass/Poison,,45,49,49,65,65,45
Butterfree,Bug/Flying,,60,45,50,80,80,70
Caterpie,Bug,,45,30,35,20,20,45
Chansey,Normal,,250,5,5,105,105,50
Charizard,Fire/Flying,,78,84,78,85,85,100
Charmander,Fire,,39,52,43,50,50,65
Charmeleon,Fire,,58,64,58,65,65,80
Clefable,Normal,,95,70,73,85,85,60
Clefairy,Normal,,70,45,48,60,60,35
Cloyster,Water/Ice,,50,95,180,85,85,70
Cubone,Ground,,50,50,95,40,40,35
Dewgong,Water/Ice,,90,70,80,95,95,70
Diglett,Ground,,10,55,25,45,45,95
Ditto,Normal,,48,48,48,48,48,48
Dodrio,Normal/Flying,,60,110,70,60,60,100
Doduo,Normal/Flying,,35,85,45,35,35,75
Dragonair,Dragon,,61,84,65,70,70,70
Dragonite,Dragon/Flying,,91,134,95,100,100,80
Dratini,Dragon,,41,64,45,50,50,50
Drowzee,Psychic,,60,48,45,90,90,42
Dugtrio,Ground,,35,80,50,70,70,120
Eevee,Normal,,55,55,50,65,65,55
Ekans,Poison,,35,60,44,40,40,55
Electabuzz,Electric,,65,83,57,85,85,105
Electrode,Electric,,60,50,70,80,80,140
Exeggcute,Grass/Psychic,,60,40,80,60,60,40
Exeggutor,Grass/Psychic,,95,95,85,125,125,55
Farfetch'd,Normal/Flying,,52,65,55,58,58,60
Fearow,Normal/Flying,,65,90,65,61,61,100
Flareon,Fire,,65,130,60,110,110,65
Gastly,Ghost/Poison,,30,35,30,100,100,80
Gengar,Ghost/Poison,,60,65,60,130,130,110
Geodude,Rock/Ground,,40,80,100,30,30,20
Gloom,Grass/Poison,,60,65,70,85,85,40
Golbat,Poison/Flying,,75,80,70,75,75,90
Goldeen,Water,,45,67,60,50,50,63
Golduck,Water,,80,82,78,80,80,85
Golem,Rock/Ground,,80,110,130,55,55,45
Graveler,Rock/Ground,,55,95,115,45,45,35
Grimer,Poison,,80,80,50,40,40,25
Growlithe,Fire,,55,70,45,50,50,60
Gyarados,Water/Flying,,95,125,79,100,100,81
Haunter,Ghost/Poison,,45,50,45,115,115,95
Hitmonchan,Fighting,,50,105,79,35,35,76
Hitmonlee,Fighting,,50,120,53,35,35,87
Horsea,Water,,30,40,70,70,70,60
Hypno,Psychic,,85,73,70,115,115,67
Ivysaur,Grass/Poison,,60,62,63,80,80,60
Jigglypuff,Normal,,115,45,20,25,25,20
Jolteon,Electric,,65,65,60,110,110,130
Jynx,Ice/Psychic,,65,50,35,95,95,95
Kabuto,Rock/Water,,30,80,90,45,45,55
Kabutops,Rock/Water,,60,115,105,70,70,80
Kadabra,Psychic,,40,35,30,120,120,105
Kakuna,Bug/Poison,,45,25,50,25,25,35
Kangaskhan,Normal,,105,95,80,40,40,90
Kingler,Water,,55,130,115,50,50,75
Koffing,Poison,,40,65,95,60,60,35
Krabby,Water,,30,105,90,25,25,50
Lapras,Water/Ice,,130,85,80,95,95,60
Lickitung,Normal,,90,55,75,60,60,30
Machamp,Fighting,,90,130,80,65,65,55
Machoke,Fighting,,80,100,70,50,50,45
Machop,Fighting,,70,80,50,35,35,35
Magikarp,Water,,20,10,55,20,20,80
Magmar,Fire,,65,95,57,85,85,93
Magnemite,Electric,,25,35,70,95,95,45
Magneton,Electric,,50,60,95,120,120,70
Mankey,Fighting,,40,80,35,35,35,70
Marowak,Ground,,60,80,110,50,50,45
Meowth,Normal,,40,45,35,40,40,90
Metapod,Bug,,50,20,55,25,25,30
Mew,Psychic,,100,100,100,100,100,100
Mewtwo,Psychic,,106,110,90,154,154,130
Moltres,Fire/Flying,,90,100,90,125,125,90
Mr. Mime,Psychic,,40,45,65,100,100,90
Muk,Poison,,105,105,75,65,65,50
Nidoking,Poison/Ground,,81,92,77,75,75,85
Nidoqueen,Poison/Ground,,90,82,87,75,75,76
Nidoran-F,Poison,,55,47,52,40,40,41
Nidoran-M,Poison,,46,57,40,40,40,50
Nidorina,Poison,,70,62,67,55,55,56
Nidorino,Poison,,61,72,57,55,55,65
Ninetales,Fire,,73,76,75,100,100,100
Oddish,Grass/Poison,,45,50,55,75,75,30
Omanyte,Rock/Water,,35,40,100,90,90,35
Omastar,Rock/Water,,70,60,125,115,115,55
Onix,Rock/Ground,,35,45,160,30,30,70
Paras,Bug/Grass,,35,70,55,55,55,25
Parasect,Bug/Grass,,60,95,80,80,80,30
Persian,Normal,,65,70,60,65,65,115
Pidgeot,Normal/Flying,,83,80,75,70,70,91
Pidgeotto,Normal/Flying,,63,60,55,50,50,71
Pidgey,Normal/Flying,,40,45,40,35,35,56
Pikachu,Electric,,35,55,30,50,50,90
Pinsir,Bug,,65,125,100,55,55,85
Poliwag,Water,,40,50,40,40,40,90
Poliwhirl,Water,,65,65,65,50,50,90
