Pokemon,Typing,Abilities,HP,Attack,Defense,SpA,SpD,Spe
Abra,Psychic,"Inner Focus, Synchronize",25,20,15,105,55,90
Absol,Dark,Pressure,65,130,60,75,60,75
Aerodactyl,Rock/Flying,"Pressure, Rock Head",80,105,65,60,75,130
Aggron,Steel/Rock,"Rock Head, Sturdy",70,110,180,60,60,50
Aipom,Normal,"Pickup, Run Away",55,70,55,40,55,85
Alakazam,Psychic,"Inner Focus, Synchronize",55,50,45,135,85,120
Altaria,Dragon/Flying,Natural Cure,75,70,90,70,105,80
Ampharos,Electric,Static,90,75,75,115,90,55
Anorith,Rock/Bug,Battle Armor,45,95,50,40,50,75
Arbok,Poison,"Intimidate, Shed Skin",60,85,69,65,79,80
Arcanine,Fire,"Flash Fire, Intimidate",90,110,80,100,80,95
Ariados,Bug/Poison,"Insomnia, Swarm",70,90,70,60,60,40
Armaldo,Rock/Bug,Battle Armor,75,125,100,70,80,45
Aron,Steel/Rock,"Rock Head, Sturdy",50,70,100,40,40,30
Articuno,Ice/Flying,Pressure,90,85,100,95,125,85
Azumarill,Water,"Huge Power, Thick Fat",100,50,80,50,80,50
Azurill,Normal,"Huge Power, Thick Fat",50,20,40,20,40,20
Bagon,Dragon,Rock Head,45,75,60,40,30,50
Baltoy,Ground/Psychic,Levitate,40,40,55,40,70,55
Banette,Ghost,Insomnia,64,115,65,83,63,65
Barboach,Water/Ground,Oblivious,50,48,43,46,41,60
Bayleef,Grass,Overgrow,60,62,80,63,80,60
Beautifly,Bug/Flying,Swarm,60,70,50,90,50,65
Beedrill,Bug/Poison,Swarm,65,80,40,45,80,75
Beldum,Steel/Psychic,Clear Body,40,55,80,35,60,30
Bellossom,Grass,Chlorophyll,75,80,85,90,100,50
Bellsprout,Grass/Poison,Chlorophyll,50,75,35,70,30,40
Blastoise,Water,Torrent,79,83,100,85,105,78
Blaziken,Fire/Fighting,Blaze,80,120,70,110,70,80
Blissey,Normal,"Natural Cure, Serene Grace",255,10,10,75,135,55
Breloom,Grass/Fighting,Effect Spore,60,130,80,60,60,70
Bulbasaur,Grass/Poison,Overgrow,45,49,49,65,65,45
Butterfree,Bug/Flying,Compound Eyes,60,45,50,80,80,70
Cacnea,Grass,Sand Veil,50,85,40,85,40,35
Cacturne,Grass/Dark,Sand Veil,70,115,60,115,60,55
Camerupt,Fire/Ground,Magma Armor,70,100,70,105,75,40
Carvanha,Water/Dark,Rough Skin,45,90,20,65,20,65
Cascoon,Bug,Shed Skin,50,35,55,25,25,15
Castform,Normal,Forecast,70,70,70,70,70,70
Caterpie,Bug,Shield Dust,45,30,35,20,20,45
Celebi,Psychic/Grass,Natural Cure,100,100,100,100,100,100
Chansey,Normal,"Natural Cure, Serene Grace",250,5,5,35,105,50
Charizard,Fire/Flying,Blaze,78,84,78,109,85,100
Charmander,Fire,Blaze,39,52,43,60,50,65
Charmeleon,Fire,Blaze,58,64,58,80,65,80
Chikorita,Grass,Overgrow,45,49,65,49,65,45
Chimecho,Psychic,Levitate,65,50,70,95,80,65
Chinchou,Water/Electric,"Illuminate, Volt Absorb",75,38,38,56,56,67
Clamperl,Water,Shell Armor,35,64,85,74,55,32
Claydol,Ground/Psychic,Levitate,60,70,105,70,120,75
Clefable,Normal,Cute Charm,95,70,73,85,90,60
Clefairy,Normal,Cute Charm,70,45,48,60,65,35
Cleffa,Normal,Cute Charm,50,25,28,45,55,15
Cloyster,Water/Ice,Shell Armor,50,95,180,85,45,70
Combusken,Fire/Fighting,Blaze,60,85,60,85,60,55
Corphish,Water,"Hyper Cutter, Shell Armor",43,80,65,50,35,35
Corsola,Water/Rock,"Hustle, Natural Cure",55,55,85,65,85,35
Cradily,Rock/Grass,Suction Cups,86,81,97,81,107,43
Crawdaunt,Water/Dark,"Hyper Cutter, Shell Armor",63,120,85,90,55,55
Crobat,Poison/Flying,Inner Focus,85,90,80,70,80,130
Croconaw,Water,Torrent,65,80,80,59,63,58
Cubone,Ground,"Lightning Rod, Rock Head",50,50,95,40,50,35
Cyndaquil,Fire,Blaze,39,52,43,60,50,65
